"Cluster"	"Category"	"Term_accession"	"Term_description"	"Count_query"	"Pop_query"	"Count_universe"	"Pop_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"
"linear_increasing_GO"	"GO_CC"	"5886"	"plasma membrane "	34	74	462	1894	44.5945945945946	24.3928194297782	0.000163170080766251	0.0132983615824495	1.82818532818533	"O15247;P00918;P01024;P02549;P02671;P02675;P02679;P02730;P07204;P11166;P11277;P12429;P14384;P16157;P16284;P22897;P27105;P35241;P49327;P50148;P50895;P56199;P61224;Q03135;Q13488;Q14624;Q15109;Q15599;Q7Z4I7;Q8NFJ5;Q99758;Q9UGT4;Q9Y696;E9PDF6"
"linear_increasing_GO"	"GO_BP"	"6821"	"chloride transport "	5	74	7	1894	5.4054054054054	0.369588173178458	0.000471898073212964	0.28502643622063	14.6254826254826	"O15247;O95833;P02730;Q9NZA1;Q9Y696"
"linear_increasing_GO"	"GO_CC"	"72562"	"blood microparticle "	11	74	70	1894	13.5135135135135	3.69588173178458	0.000538799073061184	0.0292747496363243	3.65637065637066	"O75636;P00738;P01024;P02671;P02675;P02679;P02730;P11166;P27105;P69905;Q14624"
"linear_increasing_GO"	"GO_MF"	"5102"	"signaling receptor binding "	8	74	41	1894	9.45945945945946	2.16473072861668	0.00157138267587503	0.105157820554859	4.36980883322347	"O75636;P01024;P02671;P02675;P02679;Q03135;Q15599;Q16787"
"linear_increasing_GO"	"GO_MF"	"4888"	"transmembrane signaling receptor activity "	5	74	11	1894	5.4054054054054	0.58078141499472	0.00174294730201424	0.105157820554859	9.30712530712531	"P07204;P16284;P22897;P50895;Q15109"
"linear_increasing_GO"	"GO_CC"	"9986"	"cell surface "	11	74	86	1894	13.5135135135135	4.54065469904963	0.00228124352302929	0.0743685388507548	2.97611565053425	"P01024;P02671;P02675;P02679;P07204;P11277;P14384;P22897;P56199;Q15109;Q9Y696"
"linear_increasing_GO"	"GO_BP"	"34116"	"positive regulation of heterotypic cell-cell adhesion "	4	74	6	1894	4.05405405405405	0.316789862724393	0.00349967797912158	0.704601833129811	12.7972972972973	"P02671;P02675;P02679;Q15109"
"linear_increasing_GO"	"GO_BP"	"45907"	"positive regulation of vasoconstriction "	4	74	6	1894	4.05405405405405	0.316789862724393	0.00349967797912158	0.704601833129811	12.7972972972973	"P02671;P02675;P02679;Q03135"
"linear_increasing_GO"	"GO_CC"	"34707"	"chloride channel complex "	4	74	6	1894	4.05405405405405	0.316789862724393	0.00349967797912158	0.0894468114582024	12.7972972972973	"O15247;O95833;Q9NZA1;Q9Y696"
"linear_increasing_GO"	"GO_CC"	"16324"	"apical plasma membrane "	7	74	36	1894	8.10810810810811	1.90073917634636	0.00384127411170194	0.0894468114582024	4.26576576576577	"P11166;P35241;Q03135;Q13488;Q15109;Q15599;Q9NZA1"
"linear_increasing_GO"	"GO_MF"	"5254"	"chloride channel activity "	4	74	7	1894	4.05405405405405	0.369588173178458	0.00486713649029529	0.17619034094869	10.969111969112	"O15247;O95833;Q9NZA1;Q9Y696"
"linear_increasing_GO"	"GO_MF"	"5244"	"voltage-gated monoatomic ion channel activity "	4	74	7	1894	4.05405405405405	0.369588173178458	0.00486713649029529	0.17619034094869	10.969111969112	"O15247;O95833;Q9NZA1;Q9Y696"
"linear_increasing_GO"	"GO_BP"	"8544"	"epidermis development "	4	74	9	1894	4.05405405405405	0.475184794086589	0.0084577805699432	0.846868279776058	8.53153153153153	"O95171;Q13751;Q13753;Q16787"
"linear_increasing_GO"	"GO_CC"	"9897"	"external side of plasma membrane "	7	74	44	1894	8.10810810810811	2.32312565997888	0.00919862425764607	0.187421969249539	3.49017199017199	"O75636;P02671;P02675;P02679;P07204;P50895;P56199"
"linear_increasing_GO"	"GO_BP"	"7565"	"female pregnancy "	4	74	10	1894	4.05405405405405	0.527983104540655	0.0107052813551723	0.846868279776058	7.67837837837838	"P07204;P11166;P15428;Q9NZA1"
"linear_increasing_GO"	"GO_BP"	"90277"	"positive regulation of peptide hormone secretion "	3	74	3	1894	2.7027027027027	0.158394931362196	0.0126122200747691	0.846868279776058	17.0630630630631	"P02671;P02675;P02679"
"linear_increasing_GO"	"GO_BP"	"98609"	"cell-cell adhesion "	5	74	24	1894	5.4054054054054	1.26715945089757	0.0181471664918959	0.846868279776058	4.26576576576577	"P16284;P56199;Q16787;Q7Z4I7;Q8WUP2"
"linear_increasing_GO"	"GO_CC"	"31091"	"platelet alpha granule "	3	74	4	1894	2.7027027027027	0.211193241816262	0.0184666559311798	0.29230240813604	12.7972972972973	"P02671;P02675;P02679"
"linear_increasing_GO"	"GO_MF"	"4064"	"arylesterase activity "	3	74	4	1894	2.7027027027027	0.211193241816262	0.0184666559311798	0.5094617903389	12.7972972972973	"P00915;P00918;A0A0J9YXF2"
"linear_increasing_GO"	"GO_BP"	"65003"	"protein-containing complex assembly "	5	74	25	1894	5.4054054054054	1.31995776135164	0.0204717892130471	0.846868279776058	4.09513513513514	"P02671;P02675;P02679;P11166;Q15599"
"linear_increasing_GO"	"GO_BP"	"51592"	"response to calcium ion "	4	74	14	1894	4.05405405405405	0.739176346356917	0.0228834904790652	0.846868279776058	5.48455598455599	"P02671;P02675;P02679;Q03135"
"linear_increasing_GO"	"GO_MF"	"51117"	"ATPase binding "	4	74	14	1894	4.05405405405405	0.739176346356917	0.0228834904790652	0.517738972088849	5.48455598455599	"P16157;P35241;Q03135;Q13488"
"linear_increasing_GO"	"GO_BP"	"7160"	"cell-matrix adhesion "	5	74	26	1894	5.4054054054054	1.3727560718057	0.0229723654470365	0.846868279776058	3.93762993762994	"P02671;P02675;P02679;P50895;P56199"
"linear_increasing_GO"	"GO_CC"	"16323"	"basolateral plasma membrane "	5	74	26	1894	5.4054054054054	1.3727560718057	0.0229723654470365	0.29230240813604	3.93762993762994	"P02730;P11166;P15428;P16157;Q03135"
"linear_increasing_GO"	"GO_BP"	"34765"	"regulation of monoatomic ion transmembrane transport "	3	74	5	1894	2.7027027027027	0.263991552270327	0.0252377964171673	0.846868279776058	10.2378378378378	"O95833;Q9NZA1;Q9Y696"
"linear_increasing_GO"	"GO_BP"	"15670"	"carbon dioxide transport "	3	74	5	1894	2.7027027027027	0.263991552270327	0.0252377964171673	0.846868279776058	10.2378378378378	"P00918;P69891;P69905"
"linear_increasing_GO"	"GO_BP"	"72378"	"blood coagulation, fibrin clot formation "	3	74	5	1894	2.7027027027027	0.263991552270327	0.0252377964171673	0.846868279776058	10.2378378378378	"P02671;P02675;P02679"
"linear_increasing_GO"	"GO_BP"	"2000352"	"negative regulation of endothelial cell apoptotic process "	3	74	5	1894	2.7027027027027	0.263991552270327	0.0252377964171673	0.846868279776058	10.2378378378378	"P02671;P02675;P02679"
"linear_increasing_GO"	"GO_BP"	"31639"	"plasminogen activation "	3	74	5	1894	2.7027027027027	0.263991552270327	0.0252377964171673	0.846868279776058	10.2378378378378	"P02671;P02675;P02679"
"linear_increasing_GO"	"GO_BP"	"45921"	"positive regulation of exocytosis "	3	74	5	1894	2.7027027027027	0.263991552270327	0.0252377964171673	0.846868279776058	10.2378378378378	"P02671;P02675;P02679"
"linear_increasing_GO"	"GO_BP"	"51258"	"protein polymerization "	3	74	5	1894	2.7027027027027	0.263991552270327	0.0252377964171673	0.846868279776058	10.2378378378378	"P02671;P02675;P02679"
"linear_increasing_GO"	"GO_BP"	"15671"	"oxygen transport "	3	74	5	1894	2.7027027027027	0.263991552270327	0.0252377964171673	0.846868279776058	10.2378378378378	"P07738;P69891;P69905"
"linear_increasing_GO"	"GO_CC"	"31838"	"haptoglobin-hemoglobin complex "	3	74	5	1894	2.7027027027027	0.263991552270327	0.0252377964171673	0.29230240813604	10.2378378378378	"P00738;P69891;P69905"
"linear_increasing_GO"	"GO_CC"	"14731"	"spectrin-associated cytoskeleton "	3	74	5	1894	2.7027027027027	0.263991552270327	0.0252377964171673	0.29230240813604	10.2378378378378	"P02549;P11277;P16157"
"linear_increasing_GO"	"GO_CC"	"5577"	"fibrinogen complex "	3	74	5	1894	2.7027027027027	0.263991552270327	0.0252377964171673	0.29230240813604	10.2378378378378	"P02671;P02675;P02679"
"linear_increasing_GO"	"GO_CC"	"62023"	"collagen-containing extracellular matrix "	12	74	143	1894	14.8648648648649	7.55015839493136	0.0261232023703738	0.29230240813604	1.96881496881497	"A6NMZ7;O75636;P02671;P02675;P02679;P26447;P50895;Q13751;Q13753;Q14624;Q16787;Q9H239"
"linear_increasing_GO"	"GO_CC"	"5615"	"extracellular space "	19	74	272	1894	24.3243243243243	14.3611404435058	0.026898994613746	0.29230240813604	1.693759936407	"O75636;P00738;P01024;P02671;P02675;P02679;P07204;P14384;P16284;P26447;P27105;P35241;P69905;Q13228;Q13753;Q8IWL2;Q99758;Q9H239;Q9UGT4"
"linear_increasing_GO"	"GO_BP"	"70374"	"positive regulation of ERK1 and ERK2 cascade "	5	74	29	1894	5.4054054054054	1.5311510031679	0.0315570978023455	0.992115288926009	3.53028890959925	"P02671;P02675;P02679;P61224;Q15109"
"linear_increasing_GO"	"GO_BP"	"61028"	"establishment of endothelial barrier "	3	74	6	1894	2.7027027027027	0.316789862724393	0.0328514996333116	0.992115288926009	8.53153153153153	"P16284;P35241;P61224"
"linear_increasing_GO"	"GO_MF"	"5198"	"structural molecule activity "	6	74	45	1894	6.75675675675676	2.37592397043295	0.035291586353973	0.709753014452124	2.84384384384384	"P02671;P02675;P02679;P16157;Q13751;Q16787"
"linear_increasing_GO"	"GO_BP"	"1900026"	"positive regulation of substrate adhesion-dependent cell spreading "	4	74	18	1894	4.05405405405405	0.950369588173178	0.0402675814688686	1	4.26576576576577	"P02671;P02675;P02679;Q7Z4I7"
"linear_increasing_GO"	"GO_BP"	"1902042"	"negative regulation of extrinsic apoptotic signaling pathway via death domain receptors "	3	74	7	1894	2.7027027027027	0.369588173178458	0.0412377343916515	1	7.31274131274131	"P02671;P02675;P02679"
"linear_increasing_GO"	"GO_CC"	"1905370"	"serine-type endopeptidase complex "	3	74	7	1894	2.7027027027027	0.369588173178458	0.0412377343916515	0.411255765503784	7.31274131274131	"O75636;P01024;P07204"
"linear_increasing_GO"	"GO_CC"	"30864"	"cortical actin cytoskeleton "	4	74	19	1894	4.05405405405405	1.00316789862724	0.0454147471108473	0.411255765503784	4.04125177809388	"P02549;P11166;P11277;P35241"
"linear_increasing_GO"	"GO_CC"	"45177"	"apical part of cell "	3	74	8	1894	2.7027027027027	0.422386483632524	0.0503303838669906	0.425204217152845	6.39864864864865	"P00918;P35241;Q9Y696"
"linear_increasing_GO"	"GO_CC"	"70062"	"extracellular exosome "	38	74	741	1894	50	39.1235480464625	0.0521722965831712	0.425204217152845	1.27800269905533	"O95171;O95833;P00491;P00492;P00738;P00915;P00918;P01024;P02671;P02675;P02679;P02730;P07738;P11166;P12429;P14384;P15090;P15428;P16284;P23381;P26447;P27105;P35241;P49327;P50148;P50895;P56199;P61224;P69905;P78417;Q13228;Q14624;Q15599;Q16787;Q8NFJ5;Q9NZA1;Q9UGT4;Q9Y696"
